
AIRLINE_ID,Description,Sum(PASSENGERS)
"19393","Southwest Airlines Co.: WN",123280232
"19531","Air Canada: AC",1151970
"19532","Compagnie Natl Air France: AF",1381600
"19533","National Aviation Company of India Limited d/b/a Air India: AI",524637
"19534","Aeromexico: AM",2266099
"19535","Aerolineas Argentinas: AR",139996
"19536","Royal Air Maroc: AT",182788
"19537","Aerovias Nacl De Colombia: AV",719887
"19538","Finnair Oy: AY",94405
"19539","Italia Transporto Aereo S.P.A DBA ITA S.P.A: AZ",104359
"19540","British Airways Plc: BA",1184886
"19542","Caribbean Airlines Limited: BW",182609
"19543","Air China: CA",34857
"19544","China Airlines Ltd.: CI",22439
"19545","Cargolux Airlines International S.A: CV",0
"19546","Icelandair: FI",405898
"19547","Iberia Air Lines Of Spain: IB",411647
"19548","Japan Air Lines Co. Ltd.: JL",219979
"19550","Korean Air Lines Co. Ltd.: KE",434957
"19551","Klm Royal Dutch Airlines: KL",728353
"19552","Lan-Chile Airlines: LA",287137
"19554","Lufthansa German Airlines: LH",1622659
"19555","Polskie Linie Lotnicze: LO",316825
"19556","Lacsa: LR",97699
"19558","El Al Israel Airlines Ltd.: LY",347942
"19562","Polynesian Airlines Ltd.: PH",7321
"19564","Philippine Airlines Inc.: PR",229862
"19565","Surinam Airways Limited: PY",10704
"19566","Qantas Airways Ltd.: QF",15752
"19568","Alia-(The) Royal Jordanian: RJ",182598
"19571","Scandinavian Airlines Sys.: SK",212158
"19572","Singapore Airlines Ltd.: SQ",107016
"19573","Aeroflot Russian Airlines: SU",356411
"19574","Taca International Airlines: TA",963557
"19576","Tap-Portuguese Airlines: TP",395775
"19616","Kuwait Airways Corp.: KU",8713
"19623","Aer Lingus Plc: EI",302456
"19624","Saudi Arabian Airlines Corp: SV",114140
"19682","Virgin Atlantic Airways: VS",449321
"19687","Horizon Air: QX",5980274
"19690","Hawaiian Airlines Inc.: HA",6525771
"19747","Egyptair: MS",203370
"19770","Compania Panamena (Copa): CM",1681042
"19779","Cathay Pacific Airways Ltd.: CX",120323
"19790","Delta Air Lines Inc.: DL",103143586
"19791","All Nippon Airways Co.: NH",239894
"19805","American Airlines Inc.: AA",116193232
"19821","Turk Hava Yollari A.O.: TK",1780564
"19830","Nippon Cargo Airlines: KZ",0
"19855","Bradley Air Services Ltd.: BCQ",143
"19869","Britannia Airways Ltd.: BY",73
"19873","Austrian Airlines: OS",189304
"19874","Air Transport International: 8C",2
"19912","Cayman Airways Limited: KX",36509
"19917","United Parcel Service: 5X",0
"19930","Alaska Airlines Inc.: AS",23267390
"19933","Air New Zealand: NZ",32909
"19953","Transportes Aereos Mercantiles Panamericanos S.A: QT",0
"19958","China Eastern Airlines: MU",35759
"19961","Air Transat: TS",60207
"19977","United Air Lines Inc.: UA",72586044
"20005","Eva Airways Corporation: BR",121177
"20007","Atlas Air Inc.: 5Y",7153
"20046","Air Wisconsin Airlines Corp: ZW",3428805
"20059","Air Pacific Ltd.: FJ",21472
"20080","Uzbekistan Airways: HY",29628
"20100","Polar Air Cargo Airways: PO",0
"20107","Federal Express Corporation: FX",0
"20108","Northern Air Cargo Inc.: NC",0
"20110","Antonov Company: ADB",0
"20111","DHL Aero Expresso: DHQ",0
"20119","Air Europa: UX",75842
"20120","Condor Flugdienst: DE",53399
"20133","China Southern Airlines: CZ",67179
"20148","Martinair Holland N.V.: MP",0
"20151","Amerijet International: M6",0
"20153","Ethiopian Airlines: ET",366523
"20156","ABSA-Aerolinhas Brasileiras: M3",0
"20162","Air Tahiti Nui: TN",64169
"20166","Gulf And Caribbean Cargo: GFQ",0
"20167","Transportes Aeros Meridiona: JJ",137010
"20169","Lynden Air Cargo Airlines: L2",0
"20177","Asia Pacific: PFQ",0
"20188","Lan Peru Airlines: LP",416218
"20190","Southern Air Inc.: 9S",0
"20195","Sky Lease Cargo: WI",0
"20200","Challenge Airlines (IL) Ltd.: 5C",0
"20201","Ameristar Air Cargo: AMQ",1508
"20206","Jazz Aviation LP: QK",1138246
"20207","TEM Enterprises dba  Avelo Airlines: XP",344393
"20222","Estafeta Carga Aereas: E7",0
"20224","Katmai Air: KAT",9644
"20226","Spernak Airways Inc.: SNK",3556
"20229","Westjet: WS",834478
"20233","Swiss International Airlines: LX",441364
"20250","Aerolitoral: 5D",250719
"20253","Cape Air: 9K",427736
"20257","Bemidji Airlines: CH",0
"20261","Ellis Air Taxi Inc.: ELL",356
"20263","Empire Airlines Inc.: EM",1502
"20267","Grand Canyon Helicopters: GCH",0
"20272","Kenmore Air Harbor: KAH",78224
